id,regio,regio_szint,helyszin,küldetés,típus,ki_adja,szörny,ölésmód,felkészülés,jutalom,ismételhető,ajánlott_szint,megjegyzés
Q038,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Isolde Karr műhelye,Vizsgálat,Isolde Karr,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,7,Gőz-gauntlet és aether-detektor fejlesztése
Q039,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A hágó térképe,Felfedezés,Aurel Mercer,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,9,Needle Ridge feltárása
Q040,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Vérnász fiai — elit horda,Elit,Gaius „Vén Medve” Thorne,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",igen,9,
Q041,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A kohó-őr,Elit,Isolde Karr,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",igen,9,
Q042,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A mélység (legendás),Legendás,Cato Vint,zombi elit,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűzolaj, lánc-csapda","bányász-pecsét, ólomtömb",nem,10,Sok száz holt egyszerre
Q043,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,VÉRNÁSZ ★,Legendás boss,Gaius „Vén Medve” Thorne,vernasz,A testébe varrt kő kivágása — ezüst nem hat rá,"minden: ezüst, tűz, csapdák, gőz","vérnász-sörte, óriás kőtöredék",nem,12,BOSS: a testébe varrt kő kivágása
Q044,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Aurel és Thorne,Karakter,Aurel Mercer,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,8,A feszültség kiéleződik a tűznél
Q045,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,mocsaras folyófalu,A víz alatti házak,Történet,Old Mam Rachel,vámpír,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, szentelt víz, fény","vámpír-agyar, karmazsin selyem",nem,8,A vámpírok és a mocsár
Q046,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,mocsaras folyófalu,"A lámpás, ami nem alszik el",Történet,Old Mam Rachel,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",nem,8,A léleklámpás eredete
Q047,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,mocsaras folyófalu,A HIDAK,Történet,Father Bram,lovas,"Megállítani (harang, só-vonal), eloltani a lámpást, ezüst penge","harangkövél, só és vas, ezüst penge, sár","Walsh lámpása, patkó",nem,10,Az első találkozás: csak a hajsza-fázis
Q048,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,mocsaras folyófalu,A harang szava,Történet,Father Bram,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,10,A gallowmere-i harang és a szentelt föld
Q049,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,mocsaras folyófalu,A fiú nyoma a mocsárban,Történet,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,11,FŐSZÁL: Eli járt itt
Q050,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Lobogósok a csónakházban,Tábla,Aggie Dow,vámpír,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, szentelt víz, fény","vámpír-agyar, karmazsin selyem",igen,8,
Q051,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,A mocsár fényei,Tábla,Old Mam Rachel,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,9,
Q052,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,A komp-átkelő,Védelem,Father Bram,szellem,"Só, vas, és a neve kimondása — elbocsátani","só és vas, gyász-szalag, a név ismerete","lélekszilánk, dermedt lepel",igen,9,Utasok átkeltetése éjszaka
Q053,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Az eltemetetlen nevek,Tábla,Father Bram,szellem,"Só, vas, és a neve kimondása — elbocsátani","só és vas, gyász-szalag, a név ismerete","lélekszilánk, dermedt lepel",igen,9,
Q054,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,A híd alatt,Tábla,Aurel Mercer,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,10,
Q055,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Eltűnt halászok,Tábla,Aggie Dow,vámpír elit,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, tükör, fény","udvartartás-jelvény, arany bilincs",igen,11,
Q056,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Só és vas,Gyűjtés,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",igen,8,"Só, réz, ezüst — a régi tudás alapanyagai"
Q057,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Az éjszakai révész,Vizsgálat,Father Bram,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,10,Charon Walsh nyoma
Q058,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Father Bram iratai,Vizsgálat,Father Bram,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,9,A gallowmere-i kripta
Q059,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Silas Gray háza,Vizsgálat,Aurel Mercer,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,10,A gyilkosság bizonyítéka
Q060,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,A kripta térképe,Vizsgálat,Old Mam Rachel,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,10,Meg kell találni a koponyát
Q061,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Mam Rachel átkai,Gyűjtés,Old Mam Rachel,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,9,Szentelt víz és védőfőzet
Q062,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Karmazsin asszony udvartartása,Elit,Iulia Severa,vámpír elit,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, tükör, fény","udvartartás-jelvény, arany bilincs",igen,12,
Q063,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,A mélyvíz asszonyai,Elit,Old Mam Rachel,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,12,
Q064,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,FEJNÉLKÜLI LOVAS ★,Legendás boss,Father Bram,lovas,"Megállítani (harang, só-vonal), eloltani a lámpást, ezüst penge","harangkövél, só és vas, ezüst penge, sár","Walsh lámpása, patkó",nem,14,BOSS: hajsza → harang → oltás → ezüst penge
Q065,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Vesper és a szellemek,Karakter,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,12,Vesper titka közel kerül a felszínhez
Q066,SORROW'S REACH · A HIDAK · GALLOWMERE,8-13,,Gray megmentése,Karakter,Father Bram,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,13,Döntés: az átok másik áldozata
Q067,LAPIDES ULULANTES · CARO DEORUM,12-18,a tiltás kőoszlopai,A kőoszlopok,Történet,Gaius „Vén Medve” Thorne,szellem,"Só, vas, és a neve kimondása — elbocsátani","só és vas, gyász-szalag, a név ismerete","lélekszilánk, dermedt lepel",nem,12,A Vaskonzílium színhelye — Thorne ott volt
Q068,LAPIDES ULULANTES · CARO DEORUM,12-18,a tiltás kőoszlopai,A zarándokok,Történet,Tribune Livia Corvina,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,12,Római zarándok-tábor a kráternél — a tiltás képmutatása
Q069,LAPIDES ULULANTES · CARO DEORUM,12-18,a tiltás kőoszlopai,A mélyből jövő,Történet,Isolde Karr,alkat,A varratok elvágása / villám — őket lehet nem megölni,"kés, villám-vezető, beszélgetés","kapocs-ötvözet, lombik",nem,13,Kísérleti alanyok szöktek meg a szentély alatti laborból
Q070,LAPIDES ULULANTES · CARO DEORUM,12-18,a tiltás kőoszlopai,Aki építette a vonalat,Történet,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,14,FŐSZÁL: a Legio Rail Blackwood műve
Q071,LAPIDES ULULANTES · CARO DEORUM,12-18,a tiltás kőoszlopai,Az apa,Történet,Iulia Severa,menenius,A saját kövei ellene fordítása,négy évszázad összes vadász-tudása,a Vén Kígyó kövei,nem,16,Menenius leleplezése
Q072,LAPIDES ULULANTES · CARO DEORUM,12-18,,A pec séstes óriás,Tábla,Isolde Karr,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",igen,13,
Q073,LAPIDES ULULANTES · CARO DEORUM,12-18,,A megégetett nevek kórusa,Tábla,Father Bram,szellem,"Só, vas, és a neve kimondása — elbocsátani","só és vas, gyász-szalag, a név ismerete","lélekszilánk, dermedt lepel",igen,13,
Q074,LAPIDES ULULANTES · CARO DEORUM,12-18,,A Vetchet király sírja,Tábla,Kharis,múmia boss,Az amulett eltávolítása — a test megáll,"tűz, véső, csapdák","királyi amulett, égkő-töredék",nem,14,
Q075,LAPIDES ULULANTES · CARO DEORUM,12-18,,A mélység csordája,Tábla,Cato Vint,zombi elit,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűzolaj, lánc-csapda","bányász-pecsét, ólomtömb",igen,13,
Q076,LAPIDES ULULANTES · CARO DEORUM,12-18,,Az élő alkat,Tábla,Adam Vale,alkat,A varratok elvágása / villám — őket lehet nem megölni,"kés, villám-vezető, beszélgetés","kapocs-ötvözet, lombik",igen,14,
Q077,LAPIDES ULULANTES · CARO DEORUM,12-18,,A menyasszony,Mentés,Adam Vale,alkat,A varratok elvágása / villám — őket lehet nem megölni,"kés, villám-vezető, beszélgetés","kapocs-ötvözet, lombik",nem,14,"Ada: védd meg, ne öld meg"
Q078,LAPIDES ULULANTES · CARO DEORUM,12-18,,Az alkimista,Tábla,Adam Vale,alkat,A varratok elvágása / villám — őket lehet nem megölni,"kés, villám-vezető, beszélgetés","kapocs-ötvözet, lombik",nem,15,Villám és a szív — vagy a varratok
Q079,LAPIDES ULULANTES · CARO DEORUM,12-18,,Ezüst-vér,Gyűjtés,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",igen,15,A végső felkészülés alapanyagai
Q080,LAPIDES ULULANTES · CARO DEORUM,12-18,,Menenius naplói,Vizsgálat,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,15,Négy évszázad feljegyzései
Q081,LAPIDES ULULANTES · CARO DEORUM,12-18,,Maren sírja,Vizsgálat,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,15,"Eli anyja — az ár, amit fizettek"
Q082,LAPIDES ULULANTES · CARO DEORUM,12-18,,Severa igazi arca,Vizsgálat,Tribune Livia Corvina,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,16,A kém leleplezése
Q083,LAPIDES ULULANTES · CARO DEORUM,12-18,,A vonal vége,Vizsgálat,Isolde Karr,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,16,Miért épült a vasút a kráterig
Q084,LAPIDES ULULANTES · CARO DEORUM,12-18,,A kráter őrei,Elit,Kharis,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",igen,17,Vegyes elit horda
Q085,LAPIDES ULULANTES · CARO DEORUM,12-18,,Karmazsin asszony ★,Legendás boss,Iulia Severa,karmazsin,"Napfény, ezüst, a meghívás megtagadása","tükör, ezüst, nappali roham","karmazsin pecsétgyűrű, udvari napló",nem,17,Ha a III. régióban nem esett el
Q086,LAPIDES ULULANTES · CARO DEORUM,12-18,,VALERIUS MENENIUS ★★,Végső boss,—,menenius,A saját kövei ellene fordítása,négy évszázad összes vadász-tudása,a Vén Kígyó kövei,nem,18,A saját kövei ellene fordítása
Q087,LAPIDES ULULANTES · CARO DEORUM,12-18,,A négy vadász,Karakter,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,16,A tábortűz utolsó éjszakája
Q088,LAPIDES ULULANTES · CARO DEORUM,12-18,,Eli döntése,Karakter,—,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,18,Három befejezés előkészítése
